stream,site_code,site_name,UTM_E,UTM_N,year,month,temperature_C
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,1,5.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,2,4.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,3,6.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,4,13.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,5,15.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,6,17.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,7,17.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,8,17.05000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,9,12.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,10,8.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,11,3.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2007,12,1.2500000000000568
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,1,3.8500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,2,3.5500000000000114
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,3,4.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,4,7.9500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,5,15.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,6,17.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,7,18.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,8,17.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,9,12.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,10,9.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,11,5.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2008,12,1.0500000000000114
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,1,-2.6499999999999773
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,2,0.6500000000000341
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,3,4.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,4,12.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,5,14.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,6,15.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,7,18.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,8,19.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,9,15.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,10,8.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,11,7.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2009,12,0.8500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,1,-2.849999999999966
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,2,-0.24999999999994316
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,3,4.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,4,9.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,5,11.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,6,17.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,7,20.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,8,16.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,9,12.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,10,8.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,11,5.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2010,12,-3.1499999999999773
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,1,1.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,2,1.4500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,3,6.4500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,4,12.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,5,14.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,6,16.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,7,16.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,8,18.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,9,15.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,10,9.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,11,4.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2011,12,3.9500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,1,2.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,2,-2.349999999999966
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,3,7.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,4,8.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,5,15.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,6,16.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,7,17.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,8,19.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,9,13.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,10,8.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,11,5.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2012,12,2.3500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,1,0.6500000000000341
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,2,-0.3499999999999659
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,3,1.2500000000000568
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,4,9.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,5,11.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,6,16.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,7,20.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,8,18.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,9,13.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,10,10.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,11,4.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2013,12,3.4500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,1,3.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,2,4.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,3,7.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,4,11.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,5,12.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,6,16.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,7,19.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,8,16.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,9,15.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,10,11.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,11,6.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2014,12,3.0500000000000114
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,1,2.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,2,0.5500000000000114
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,3,5.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,4,9.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,5,13.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,6,16.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,7,20.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,8,20.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,9,13.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,10,8.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,11,7.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2015,12,6.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,1,1.7500000000000568
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,2,3.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,3,4.4500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,4,8.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,5,13.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,6,17.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,7,19.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,8,18.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,9,17.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,10,8.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,11,4.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2016,12,1.4500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,1,-3.1499999999999773
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,2,3.8500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,3,7.9500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,4,8.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,5,14.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,6,18.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,7,18.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,8,18.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,9,12.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,10,10.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,11,5.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2017,12,2.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,1,4.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,2,-1.349999999999966
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,3,3.4500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,4,13.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,5,16.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,6,18.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,7,21.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,8,20.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,9,15.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,10,10.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,11,5.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2018,12,3.8500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,1,0.8500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,2,3.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,3,7.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,4,10.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,5,11.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,6,19.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,7,19.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,8,19.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,9,14.550000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,10,11.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,11,5.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2019,12,3.3500000000000227
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,1,1.0500000000000114
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,2,4.050000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,3,6.150000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,4,10.650000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,5,15.450000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,6,17.950000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,7,15.250000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,8,18.55000000000001
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,9,14.550000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,10,10.550000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,11,6.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2000,12,3.0500000000000114
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,1,1.150000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,2,3.250000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,3,5.550000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,4,7.550000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,5,15.550000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,6,15.050000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,7,19.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,8,19.750000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,9,12.050000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,10,12.550000000000011
